   2.500000000000e-02  -4.063591423256e-03
   5.000000000000e-02  -8.218468767815e-03
   7.500000000000e-02  -1.245524740487e-02
   1.000000000000e-01  -1.676427648759e-02
   1.250000000000e-01  -2.113567211177e-02
   1.500000000000e-01  -2.555935147926e-02
   1.750000000000e-01  -3.002506790173e-02
   2.000000000000e-01  -3.452244647810e-02
   2.250000000000e-01  -3.904102027538e-02
   2.500000000000e-01  -4.357026684051e-02
   2.750000000000e-01  -4.809964486918e-02
   3.000000000000e-01  -5.261863085772e-02
   3.250000000000e-01  -5.711675556442e-02
   3.500000000000e-01  -6.158364010886e-02
   3.750000000000e-01  -6.600903154032e-02
   4.000000000000e-01  -7.038283771025e-02
   4.250000000000e-01  -7.469516128849e-02
   4.500000000000e-01  -7.893633276861e-02
   4.750000000000e-01  -8.309694231419e-02
   5.000000000000e-01  -8.716787030538e-02
   5.250000000000e-01  -9.114031645308e-02
   5.500000000000e-01  -9.500582735689e-02
   5.750000000000e-01  -9.875632239272e-02
   6.000000000000e-01  -1.023841178257e-01
   6.250000000000e-01  -1.058819490551e-01
   6.500000000000e-01  -1.092429909075e-01
   6.750000000000e-01  -1.124608759094e-01
   7.000000000000e-01  -1.155297104764e-01
   7.250000000000e-01  -1.184440889740e-01
   7.500000000000e-01  -1.211991056127e-01
   7.750000000000e-01  -1.237903641538e-01
   8.000000000000e-01  -1.262139854142e-01
   8.250000000000e-01  -1.284666125700e-01
   8.500000000000e-01  -1.305454142706e-01
   8.750000000000e-01  -1.324480855858e-01
   9.000000000000e-01  -1.341728468200e-01
   9.250000000000e-01  -1.357184402387e-01
   9.500000000000e-01  -1.370841247607e-01
   9.750000000000e-01  -1.382696686812e-01
   1.000000000000e+00  -1.392753404992e-01
   1.025000000000e+00  -1.401018979309e-01
   1.050000000000e+00  -1.407505751979e-01
   1.075000000000e+00  -1.412230686885e-01
   1.100000000000e+00  -1.415215210936e-01
   1.125000000000e+00  -1.416485041266e-01
   1.150000000000e+00  -1.416069999408e-01
   1.175000000000e+00  -1.414003813611e-01
   1.200000000000e+00  -1.410323910519e-01
   1.225000000000e+00  -1.405071197434e-01
   1.250000000000e+00  -1.398289836413e-01
   1.275000000000e+00  -1.390027011468e-01
   1.300000000000e+00  -1.380332690114e-01
   1.325000000000e+00  -1.369259380523e-01
   1.350000000000e+00  -1.356861885538e-01
   1.375000000000e+00  -1.343197054739e-01
   1.400000000000e+00  -1.328323535788e-01
   1.425000000000e+00  -1.312301526189e-01
   1.450000000000e+00  -1.295192526598e-01
   1.475000000000e+00  -1.277059096756e-01
   1.500000000000e+00  -1.257964615088e-01
   1.525000000000e+00  -1.237973042930e-01
   1.550000000000e+00  -1.217148694313e-01
   1.575000000000e+00  -1.195556012163e-01
   1.600000000000e+00  -1.173259351721e-01
   1.625000000000e+00  -1.150322771902e-01
   1.650000000000e+00  -1.126809835266e-01
   1.675000000000e+00  -1.102783417196e-01
   1.700000000000e+00  -1.078305524812e-01
   1.725000000000e+00  -1.053437126062e-01
   1.750000000000e+00  -1.028237989393e-01
   1.775000000000e+00  -1.002766534312e-01
   1.800000000000e+00  -9.770796930801e-02
   1.825000000000e+00  -9.512327837204e-02
   1.850000000000e+00  -9.252793944617e-02
   1.875000000000e+00  -8.992712796591e-02
   1.900000000000e+00  -8.732582671868e-02
   1.925000000000e+00  -8.472881772315e-02
   1.950000000000e+00  -8.214067523629e-02
   1.975000000000e+00  -7.956575987035e-02
   2.000000000000e+00  -7.700821379715e-02
   2.025000000000e+00  -7.447195701248e-02
   2.050000000000e+00  -7.196068462934e-02
   2.075000000000e+00  -6.947786516451e-02
   2.100000000000e+00  -6.702673978017e-02
   2.125000000000e+00  -6.461032243855e-02
   2.150000000000e+00  -6.223140092538e-02
   2.175000000000e+00  -5.989253869542e-02
   2.200000000000e+00  -5.759607749145e-02
   2.225000000000e+00  -5.534414068670e-02
   2.250000000000e+00  -5.313863729931e-02
   2.275000000000e+00  -5.098126662679e-02
   2.300000000000e+00  -4.887352344784e-02
   2.325000000000e+00  -4.681670373886e-02
   2.350000000000e+00  -4.481191085250e-02
   2.375000000000e+00  -4.286006210613e-02
   2.400000000000e+00  -4.096189572882e-02
   2.425000000000e+00  -3.911797811648e-02
   2.450000000000e+00  -3.732871134576e-02
   2.475000000000e+00  -3.559434089903e-02
   2.500000000000e+00  -3.391496355431e-02
   2.525000000000e+00  -3.229053539554e-02
   2.550000000000e+00  -3.072087990096e-02
   2.575000000000e+00  -2.920569606904e-02
   2.600000000000e+00  -2.774456654386e-02
   2.625000000000e+00  -2.633696570383e-02
   2.650000000000e+00  -2.498226768029e-02
   2.675000000000e+00  -2.367975427463e-02
   2.700000000000e+00  -2.242862274517e-02
   2.725000000000e+00  -2.122799343734e-02
   2.750000000000e+00  -2.007691723321e-02
   2.775000000000e+00  -1.897438279888e-02
   2.800000000000e+00  -1.791932361042e-02
   2.825000000000e+00  -1.691062474161e-02
   2.850000000000e+00  -1.594712939898e-02
   2.875000000000e+00  -1.502764519160e-02
   2.900000000000e+00  -1.415095012567e-02
   2.925000000000e+00  -1.331579831560e-02
   2.950000000000e+00  -1.252092540547e-02
   2.975000000000e+00  -1.176505369654e-02
   3.000000000000e+00  -1.104689697831e-02
   3.025000000000e+00  -1.036516506213e-02
   3.050000000000e+00  -9.718568018231e-03
   3.075000000000e+00  -9.105820118038e-03
   3.100000000000e+00  -8.525643485398e-03
   3.125000000000e+00  -7.976771461240e-03
   3.150000000000e+00  -7.457951687462e-03
   3.175000000000e+00  -6.967948916763e-03
